Zone,Animal ID,Genotype,Energy expenditure (kcal/h/kg)
Day,384,WT,6.7428125
Day,385,WT,6.0945625
Day,387,WT,6.19679166666667
Day,389,WT,5.8485
Day,391,WT,5.402875
Day,400,WT,5.48341666666667
Day,371,WT,6.20589583333333
Day,372,WT,7.16252083333333
Day,414,KO,6.87475
Day,373,KO,6.29266666666666
Day,388,KO,5.92783333333333
Day,390,KO,5.81254166666667
Day,406,KO,5.722875
Day,407,KO,6.0859375
Day,398,KO,5.68679166666667
Day,399,KO,5.6785
Day,401,KO,4.91677083333333
Day,402,KO,5.51360416666667
Night,384,WT,7.864875
Night,385,WT,7.16504166666667
Night,387,WT,7.490625
Night,389,WT,6.8749375
Night,391,WT,6.48685416666667
Night,400,WT,6.52989583333333
Night,371,WT,7.09866666666667
Night,372,WT,7.69947916666667
Night,414,KO,8.06916666666667
Night,373,KO,7.09189583333333
Night,388,KO,7.09625
Night,390,KO,7.10416666666667
Night,406,KO,6.6105
Night,407,KO,6.343
Night,398,KO,6.98116666666667
Night,399,KO,6.3153125
Night,401,KO,6.3035625
Night,402,KO,6.65758333333333
