Zone,Animal ID,Genotype,RER
Day,28,WT,0.876527777777778
Day,37,WT,0.863055555555555
Day,39,WT,0.777055555555556
Day,41,WT,0.843875
Day,46,WT,0.783152777777778
Day,53,WT,0.753027777777778
Day,58,WT,0.843375
Day,59,WT,0.857027777777778
Day,60,WT,0.837415384615385
Day,20,KO,0.924402777777778
Day,21,KO,0.928944444444445
Day,22,KO,0.948291666666667
Day,29,KO,0.940458333333333
Day,30,KO,0.927847222222222
Day,31,KO,0.967041666666667
Day,38,KO,0.856888888888889
Day,40,KO,0.836027777777778
Day,47,KO,0.795916666666667
Day,51,KO,0.836416666666667
Day,52,KO,0.834169230769231
Day,56,KO,0.746958333333333
Day,57,KO,0.818953846153846
Night,28,WT,1.05619444444444
Night,37,WT,0.905291666666667
Night,39,WT,0.92475
Night,41,WT,0.893208333333334
Night,46,WT,0.997583333333333
Night,53,WT,0.905861111111111
Night,58,WT,0.991416666666667
Night,59,WT,0.882430555555556
Night,60,WT,0.946791666666667
Night,20,KO,1.00602777777778
Night,21,KO,0.988055555555556
Night,22,KO,0.994388888888889
Night,29,KO,1.04077777777778
Night,30,KO,1.00261111111111
Night,31,KO,1.06629166666667
Night,38,KO,0.829180555555556
Night,40,KO,0.918458333333333
Night,47,KO,0.940569444444444
Night,51,KO,0.964319444444444
Night,52,KO,0.991194444444445
Night,56,KO,0.925138888888889
Night,57,KO,0.911847222222222
